name,ilce_adi,LST_C,NDVI_L8,NDBI_L8
1.Kadriye Mahallesi,Konak,36.06413791904058,0.0722136743966249,0.0275682047646309
100. Yıl Mahallesi,Bornova,39.39667974587718,0.1125914533419754,0.0131957870286356
14 Mayıs Mahallesi,Selcuk,30.88212436513795,0.2255200017802748,-0.0933418908364781
16 Eylül Mahallesi,Cesme,32.78243250387866,0.1546319348869888,-0.0084854587828506
19 Mayıs Mahallesi,Konak,37.86033588821361,0.1144325638296246,-0.0022224558589088
19 Mayıs Mahallesi,Konak,34.92385530706233,0.2121083936969267,-0.0650442472199156
2. İnönü Mahallesi,Menderes,26.407939287443533,0.2390838056672903,-0.1314809219842437
2.Kadriye Mahallesi,Konak,37.75305654383469,0.1288156923203662,-0.0049618597868416
26 Ağustos Mahallesi,Konak,35.706408956219626,0.0685799694175934,0.0313718884669775
29 Ekim Mahallesi,Buca,33.08046483920351,0.2101952311404022,-0.0596366121705662
29 Ekim Mahallesi,Buca,35.48680569084156,0.1864989962118734,-0.0344838685017607
30 Ağustos Mahallesi,Menemen,36.50143000598111,0.113015919075739,-0.0127437005509104
4 Eylül Mahallesi,Tire,37.20715985133972,0.1221566678818142,0.0018894353610524
75. Yıl Mahallesi,Konak,36.59466544329853,0.1082497932455301,-0.0071062604833614
75.Yıl Cumhuriyet Mahallesi,Foca,33.95278231100064,0.1781106257057625,-0.0425158979125519
8 Eylül Mahallesi,Kemalpasa,36.80993224878424,0.1911317525497786,-0.0410390565526167
85. Yıl Cumhuriyet Mahallesi,Kemalpasa,35.570910540782165,0.2164231663820105,-0.0764095524149555
85.Yıl Cumhuriyet Mahallesi,Menemen,33.29716321170687,0.1739923525496103,-0.0384965550868258
9 Eylül Mahallesi,Menemen,36.94592057792709,0.1514223375994881,-0.0347121170906301
Abdi İpekçi Mahallesi,Konak,37.29222787986854,0.084727493593556,0.0324793098418261
Acarlar Mahallesi,Selcuk,30.82933583081528,0.2266330142162134,-0.0931331432952418
Adaküre Mahallesi,Beydag,27.723134265699144,0.2570203581851821,-0.0892622487336116
Adalet Mahallesi,Konak,35.55010671496995,0.0945657959315883,-0.0017242670018501
Adatepe Mahallesi,Bornova,31.16965623166641,0.2040864079753324,-0.0670899502069056
Adnan Menderes Mahallesi,Tire,37.49477782201677,0.2069227460382665,-0.0385566494398133
Adnan Süvari Mahallesi,Konak,35.19864963991393,0.1181175007042623,-0.0196877774634285
Ahmet Efendi Mahallesi,Menemen,38.90562522406004,0.1054158995750534,-0.0047971685275226
Ahmet Taner Kışlalı Mahallesi,Konak,36.51867985433667,0.1530274659549581,-0.0325342810189383
Ahmetbeyler Mahallesi,Bergama,35.95819070000203,0.1872328251799177,-0.0160671534520536
Ahmetbeyli Mahallesi,Menderes,29.96491108069014,0.2533101344263855,-0.0990144290814142
Ahmetler Mahallesi,Kiraz,28.89527975925245,0.2492931467918008,-0.0415264623445853
Ahmetli Mahallesi,Selcuk,30.014638369732317,0.246105120203897,-0.1002177798302805
Ahıhıdır Mahallesi,Menemen,34.9977246897069,0.2246390686433435,-0.0633456857072147
Akalan Mahallesi,Kemalpasa,34.20516939000148,0.2113577060402984,-0.0494146041636831
Akarca Mahallesi,Seferihisar,32.251350048625895,0.1643949885595057,-0.0193304660212151
Akarcalı Mahallesi,Konak,36.63605824751539,0.0986257756937598,0.0056546104303567
Akdeniz Mahallesi,Konak,34.96496218662267,0.0593731511655791,0.0094704700799501
Akkoyunlu Mahallesi,Tire,37.69267626231572,0.2162184640650249,-0.0266387021512734
Akmescit Mahallesi,Tire,31.682704138799405,0.2064765226907318,-0.0366026321160416
Akpınar Mahallesi,Kiraz,29.839154927403943,0.2397019338347183,-0.0595481764483561
Aksoy Mahallesi,Konak,33.62647457100275,0.1030193782858706,0.0062732992067018
Aktepe Mahallesi,Konak,38.01113833394357,0.110285227668477,0.0165209811619593
Aktepe Mahallesi,Konak,33.291505106173545,0.1850426929128862,-0.0393474304268901
Akyurt Mahallesi,Tire,29.86257951520427,0.2576320304020811,-0.1105282107290729
Akçaköy Mahallesi,Menderes,39.64178005592096,0.1905078981468967,-0.0132147930401457
Akçaşehir Mahallesi,Tire,30.910678626486643,0.246162505109592,-0.0969378962255278
Akçenger Mahallesi,Bergama,34.274997531721226,0.2215477020229758,-0.0382271492695277
Akın Simav Mahallesi,Konak,35.12058107216103,0.0765902227948701,0.0145704469424116
Akıncı Mahallesi,Konak,36.13102125488704,0.0603210263360002,0.0337630228452688
Akıncılar Mahallesi,Konak,36.11582123146014,0.1233490260672557,-0.0203553421231614
Akıncılar Mahallesi,Konak,38.47018232844713,0.1049806026012647,0.0300208059924623
Alacalar Mahallesi,Bergama,35.50283124012708,0.2298741095415602,-0.0628640639600735
Alacalı Mahallesi,Tire,33.959813735220024,0.2166015136722326,-0.0370104959511647
Alakeçili Mahallesi,Beydag,33.5136616573547,0.2566327494309027,-0.0886447666122343
